id,country,product_services,revenue_omu,type,type_length,is_source,is_target,weighted_degree,degree,total_revenue,type_set,neighbor_BO,neighbor_CC,total_rev_per_BO,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,related
Victoria Falls   Limited Liability Company,Rio Isla,"['Domestic and international air and ocean freight forwarding services; Customs clearance, warehousing, trucking, temporary staffing, insurance agency, property management, and packaging services']",[8014805.9974],{'Company': 1},1,1,0,2,1,8014805,['Company'],0,1,8014805.0,0.5,0.0,0.6666666666666666,0.5000000644180599,1
Caracola del Mar NV Family,Rio Isla,"['Canned, frozen and other processed convenience foods, together with meats, animal feed and fish byproducts']",[7085565.7508],{'Company': 1},1,1,0,10,5,7085565,['Company'],4,1,1771391.25,1.0,1.0,1.0,0.7071064011232681,1
Jenkins Group,ZH,"['Specializes in producing processed frozen cod and frozen squid, processed sea cucumbers, sea eggs, and others', 'Manufacture and marketing of communication products, electronic equipment and electronic components, as well as management, development and letting of real estate', 'Unknown']","[80248.5841, 6721268.9403, 'None']","{'Company': 2, 'Beneficial Owner': 1, 'Company Contacts': 2}",5,0,0,0,0,6801516,"['Company', 'Beneficial Owner', 'Company Contacts']",0,0,6801516.0,0.0,0.0,0.0,0.0,1
"Rollins, Mercado and Miller",ZH,['Pharmaceuticals; Warehousing; Fresh and frozen sea foods'],[5672003.5824],{'Company': 1},1,0,0,0,0,5672003,['Company'],0,0,5672003.0,0.0,0.0,0.0,0.0,1
Hawkins-Benson,ZH,"['Exports salmon, whitefish, and pelagic fish']",[2040574.8855],{'Company': 1},1,0,0,0,0,2040574,['Company'],0,0,2040574.0,0.0,0.0,0.0,0.0,1
Sea Star LLC Shipping,Zawalinda,['Operation of fish hatcheries and preserves'],[1507513.6728],{'Company': 1},1,1,0,10,10,1507513,['Company'],9,1,167501.44444444444,0.0014100394811054,0.0033812313265713,0.0783672386929953,3.9319516652380576e-08,1
Hensley-Martinez,ZH,"['Development of real estate properties, administration of project contracting business; Ocean freight transportation, and operation of deep sea fishing']",[1288524.2039],{'Company': 1},1,0,0,0,0,1288524,['Company'],0,0,1288524.0,0.0,0.0,0.0,0.0,1
Jammu & Kashmir Sea  Sagl Merchants,Puerto Sol,"['Land operations, air and sea freight as well as comprehensive logistics solutions and global supply chain management from a single source; Local trucking and courier services, and freight transport by road services, as well as air freight; Arranging transportation of freight between shippers and carriers']",[1275143.2191],{'Company': 1},1,1,0,1,1,1275143,['Company'],0,1,1275143.0,1.0,0.0,1.0,0.7071067811865476,1
Thomas LLC,ZH,"['Unknown', 'Sourcing, warehousing, shipping and transportation of goods', 'Fish and fish products']","['None', 39589.22, 1176439.5829]","{'Company': 2, 'Beneficial Owner': 4, 'Company Contacts': 1}",7,1,0,4,4,1216028,"['Company', 'Beneficial Owner', 'Company Contacts']",3,1,405342.6666666667,0.0005640157924421,0.0008459043791598,0.0640193538486536,3.7723667948546174e-10,1
Portuguese Sea Bass OJSC,Oceanus,"['Seafood products (breaded and battered fish sticks and portions)', 'Packaged frozen foods, including frozen bakery products, packaged frozen fish, frozen juices, packaged frozen meats, frozen vegetables, packaged frozen poultry', 'Unknown']","[1081553.6728, 'Unknown']",{'Company': 3},3,1,0,9,3,1081553,['Company'],0,3,1081553.0,0.6000000000000001,0.8,0.7142857142857143,0.6279622632109143,1
Solutions Limited Liability Company,Nalakond,"['Unknown', 'Hair cosmetics, products for body, skin and oral care; Home decoration products, adhesives and correction products; Building adhesives', 'Preparation and packaging seafoods (Gathering and canning seafood, smoking, salting, and drying seafood, eviscerating fresh fish by removing heads, fins, scales, bones, and entrails, shucking and packing fresh shellfish, processing marine fats and oils and freezing seafood)']","[1030505.7679, 'Unknown', 12513.5434]",{'Company': 3},3,1,0,10,7,1043018,['Company'],4,3,260754.5,0.0009870276367738,0.0019731803371893,0.0687242598963128,3.369527969937478e-07,1
Webb-Garcia,ZH,"['Wind power generator main shafts, ductile iron casting pipe moulds, cold work rolls, support rolls, steam turbine and generator rotor shafts, crank shafts, marine shafts, pressure pipeline products, supercritical boiler pipes, pressure vessel forgings, machine tool bed products, wind power diesel engine body hubs, forging blanks, ESR ingots, etc']",[902168.0874],{'Company': 1},1,0,0,0,0,902168,['Company'],0,0,902168.0,0.0,0.0,0.0,0.0,1
Sahara  LLC BV Shipping,Thessalandia,['Salmon and trout; Supplies farmed cod and whitefish'],[859536.714],{'Company': 1},1,1,0,13,13,859536,['Company'],12,1,71628.0,0.0018330513254371,0.0084397951917156,0.064554300434185,1.3408584175945848e-10,1
Sparrman's bream Co Marine,Riodelsol,"['Pistons, bearings and thrust washers']",[838832.3669],{'Company': 1},1,1,0,7,7,838832,['Company'],6,1,139805.33333333334,0.0009870276367738,0.0016914508298095,0.0531510668435371,5.99150930601272e-15,1
"Matthews, Walters and Reed",ZH,"['Primarily sells the following products: fish, (tuna, catfish, tilapia, sword fish, bass, trout, and salmon), shellfish, mollusks, crustaceans, sea vegetables, shrimp, lobster, squid, oysters, crabs, and clams']",[762418.4896],{'Company': 1},1,0,0,0,0,762418,['Company'],0,0,762418.0,0.0,0.0,0.0,0.0,1
Lake Malawi  S.A. de C.V. Solutions,Rio Isla,['Fish and seafood products'],[756137.4455],{'Company': 1},1,1,0,1,1,756137,['Company'],0,1,756137.0,1.0,0.0,1.0,0.7071067811865476,1
Moon-Hughes,ZH,['Premium and super premium fishmeal'],[733281.6728],{'Company': 1},1,0,0,0,0,733281,['Company'],0,0,733281.0,0.0,0.0,0.0,0.0,1
Bird PLC,ZH,"['Tuna, and other raw sea food materials; Sea foods ranging from various delicatessen dishes and delicacies (including salads and marinades) to retort-pack, chilled, and frozen foods']",[687583.3766],{'Company': 1},1,1,0,1,1,687583,['Company'],0,1,687583.0,1.0,0.0,1.0,0.7071067811865476,1
Ocean Blue OJSC Forwading,Rio Isla,['A range of fresh and processed marine products'],[667354.6174],{'Company': 1},1,1,0,20,10,667354,['Company'],9,1,74150.44444444444,0.5882352941176471,0.8823529411764706,0.5862068965517241,0.6895852975630316,1
Mcknight PLC,ZH,"['Seafood and other aquatic products', 'Unknown']","[663441.9794, 'None']","{'Company': 1, 'Beneficial Owner': 2}",3,0,0,0,0,663441,"['Company', 'Beneficial Owner']",0,0,663441.0,0.0,0.0,0.0,0.0,1
Madhya Pradesh  Market Marine mist,Marifada,"['Fish and other seafood products (raw tuna, cooked loins, and finished products; and wetfish, such as sardines, squid and mackerel)']",[656394.112],{'Company': 1},1,1,0,1,1,656394,['Company'],0,1,656394.0,0.5,0.0,0.6666666666666666,0.5000000644180599,1
